Sample_ID,GEO_ID,Sample,eye_treatment,time_point,time_class,chickid,Sample_eye,Sex,Sample_ID_detail
X104617_102,GSM7106096,choroid,occluded,Z00,ZT_other,ck1,right,F,occl_chor_00h_ck1Fr_s102
X104619_104,GSM7106097,choroid,open,Z00,ZT_other,ck1,left,F,open_chor_00h_ck1Fl_s104
X104621_106,GSM7106098,choroid,occluded,Z00,ZT_other,ck2,right,M,occl_chor_00h_ck2Mr_s106
X104623_108,GSM7106099,choroid,open,Z00,ZT_other,ck2,left,M,open_chor_00h_ck2Ml_s108
X104625_110,GSM7106100,choroid,occluded,Z00,ZT_other,ck3,right,M,occl_chor_00h_ck3Mr_s110
X104627_112,GSM7106101,choroid,open,Z00,ZT_other,ck3,left,M,open_chor_00h_ck3Ml_s112
X104629_114,GSM7106102,choroid,occluded,Z00,ZT_other,ck4,right,M,occl_chor_00h_ck4Mr_s114
X104631_116,GSM7106103,choroid,open,Z00,ZT_other,ck4,left,M,open_chor_00h_ck4Ml_s116
X104633_118,GSM7106104,choroid,occluded,Z00,ZT_other,ck5,right,F,occl_chor_00h_ck5Fr_s118
X104635_120,GSM7106105,choroid,open,Z00,ZT_other,ck5,left,F,open_chor_00h_ck5Fl_s120
X104637_122,GSM7106106,choroid,occluded,Z00,ZT_other,ck6,right,M,occl_chor_00h_ck6Mr_s122
X104639_124,GSM7106107,choroid,open,Z00,ZT_other,ck6,left,M,open_chor_00h_ck6Ml_s124
X104641_202,GSM7106108,choroid,occluded,Z04,ZT_other,ck7,right,M,occl_chor_04h_ck7Mr_s202
X104643_204,GSM7106109,choroid,open,Z04,ZT_other,ck7,left,M,open_chor_04h_ck7Ml_s204
X104645_206,GSM7106110,choroid,occluded,Z04,ZT_other,ck8,right,M,occl_chor_04h_ck8Mr_s206
X104647_208,GSM7106111,choroid,open,Z04,ZT_other,ck8,left,M,open_chor_04h_ck8Ml_s208
X104649_210,GSM7106112,choroid,occluded,Z04,ZT_other,ck9,right,M,occl_chor_04h_ck9Mr_s210
X104651_212,GSM7106113,choroid,open,Z04,ZT_other,ck9,left,M,open_chor_04h_ck9Ml_s212
X104653_214,GSM7106114,choroid,occluded,Z04,ZT_other,ck10,right,F,occl_chor_04h_ck10Fr_s214
X104655_216,GSM7106115,choroid,open,Z04,ZT_other,ck10,left,F,open_chor_04h_ck10Fl_s216
