Sample_ID,GEO_ID,Sample,time_point,eye_treatment,Sex,Sample_title
Z00_occl_ret_c201,GSM8138162,retina,Z00, occluded,F,Z00 occluded retina chk201
Z00_occl_chor_c201,GSM8138163,choroid,Z00, occluded,F,Z00 occluded choroid chk201
Z00_open_ret_c201,GSM8138164,retina,Z00, open,F,Z00 open retina chk201
Z00_open_chor_c201,GSM8138165,choroid,Z00, open,F,Z00 open choroid chk201
Z00_occl_ret_c202,GSM8138166,retina,Z00, occluded,F,Z00 occluded retina chk202
Z00_occl_chor_c202,GSM8138167,choroid,Z00, occluded,F,Z00 occluded choroid chk202
Z00_open_ret_c202,GSM8138168,retina,Z00, open,F,Z00 open retina chk202
Z00_open_chor_c202,GSM8138169,choroid,Z00, open,F,Z00 open choroid chk202
Z00_occl_ret_c203,GSM8138170,retina,Z00, occluded,F,Z00 occluded retina chk203
Z00_occl_chor_c203,GSM8138171,choroid,Z00, occluded,F,Z00 occluded choroid chk203
Z00_open_ret_c203,GSM8138172,retina,Z00, open,F,Z00 open retina chk203
Z00_open_chor_c203,GSM8138173,choroid,Z00, open,F,Z00 open choroid chk203
Z00_occl_ret_c204,GSM8138174,retina,Z00, occluded,M,Z00 occluded retina chk204
Z00_occl_chor_c204,GSM8138175,choroid,Z00, occluded,M,Z00 occluded choroid chk204
Z00_open_ret_c204,GSM8138176,retina,Z00, open,M,Z00 open retina chk204
Z00_open_chor_c204,GSM8138177,choroid,Z00, open,M,Z00 open choroid chk204
Z00_occl_ret_c205,GSM8138178,retina,Z00, occluded,M,Z00 occluded retina chk205
Z00_occl_chor_c205,GSM8138179,choroid,Z00, occluded,M,Z00 occluded choroid chk205
Z00_open_ret_c205,GSM8138180,retina,Z00, open,M,Z00 open retina chk205
Z00_open_chor_c205,GSM8138181,choroid,Z00, open,M,Z00 open choroid chk205
Z00_occl_ret_c206,GSM8138182,retina,Z00, occluded,M,Z00 occluded retina chk206
Z00_occl_chor_c206,GSM8138183,choroid,Z00, occluded,M,Z00 occluded choroid chk206
Z00_open_ret_c206,GSM8138184,retina,Z00, open,M,Z00 open retina chk206
Z00_open_chor_c206,GSM8138185,choroid,Z00, open,M,Z00 open choroid chk206
Z04_occl_ret_c207,GSM8138186,retina,Z04, occluded,F,Z04 occluded retina chk207
Z04_occl_chor_c207,GSM8138187,choroid,Z04, occluded,F,Z04 occluded choroid chk207
