Gene,Frequency
ENSGALG00000000722,50
ENSGALG00000002514,50
ENSGALG00000004740,50
ENSGALG00000005584,50
ENSGALG00000005944,50
ENSGALG00000006399,50
ENSGALG00000006763,50
ENSGALG00000010861,50
ENSGALG00000011688,50
ENSGALG00000012946,50
ENSGALG00000013081,50
ENSGALG00000013205,50
ENSGALG00000013576,50
ENSGALG00000013941,50
ENSGALG00000017036,50
ENSGALG00000022750,50
ENSGALG00000023547,50
ENSGALG00000028037,50
ENSGALG00000031260,50
ENSGALG00000032465,50
ENSGALG00000034562,50
ENSGALG00000038704,50
ENSGALG00000040026,50
ENSGALG00000042422,50
ENSGALG00000042928,49
ENSGALG00000048613,49
ENSGALG00000001682,48
ENSGALG00000045544,45
ENSGALG00000017168,44
ENSGALG00000002527,40
ENSGALG00000004759,40
ENSGALG00000040947,40
ENSGALG00000023709,39
ENSGALG00000038646,39
ENSGALG00000037698,38
ENSGALG00000038054,37
ENSGALG00000010792,35
ENSGALG00000011799,35
ENSGALG00000025862,35
ENSGALG00000054227,35
ENSGALG00000054822,35
ENSGALG00000009128,34
ENSGALG00000053468,32
ENSGALG00000034013,31
ENSGALG00000003758,30
ENSGALG00000029521,29
ENSGALG00000040369,29
ENSGALG00000043570,28
ENSGALG00000030597,25
ENSGALG00000033561,25
ENSGALG00000008791,22
ENSGALG00000015209,22
ENSGALG00000017363,22
ENSGALG00000042374,22
ENSGALG00000004128,21
ENSGALG00000016584,20
ENSGALG00000040729,20
ENSGALG00000051203,20
ENSGALG00000034216,19
ENSGALG00000055000,19
ENSGALG00000009814,18
ENSGALG00000026864,18
ENSGALG00000023191,17
ENSGALG00000042105,17
ENSGALG00000005661,15
ENSGALG00000054780,14
ENSGALG00000016810,12
ENSGALG00000008939,10
ENSGALG00000016512,10
ENSGALG00000054413,10
ENSGALG00000008051,8
ENSGALG00000012124,8
ENSGALG00000028658,8
ENSGALG00000037962,7
ENSGALG00000031693,6
ENSGALG00000000102,5
ENSGALG00000009519,5
ENSGALG00000011614,5
ENSGALG00000005164,4
ENSGALG00000017022,4
ENSGALG00000034992,3
ENSGALG00000005918,1
ENSGALG00000034264,1
